Version		Compiler	Problem Size	Threads	Time		ICount		IPC		Result

// Original version
// VTunes showed that 98.2% of computation time is consumed by mult_mat, for which the optimizations will be concentrated on that part

Original	gcc		2000		1	59,631478410	128.377.176.283	0,64		1.673053e+10
Original	icc		2000		1	10,848042932	38.413.083.799	1,05		1.673053e+10

// Fixing memory access in mult_mat (stride-N to stride-1)

v1		gcc		2000		1	48,337178740	112.339.246.461	0,69		1.673053e+10
v1		icc		2000		1	10,261178852	30.422.806.035	0,88		1.673053e+10

// Parallelization

v2		gcc		2000		4	4,464665751	112.372.138.637	1,11(x4)	1.673053e+10
v2		gcc		2000		8	4,002741353	112.299.192.928	1,09(x8)	1.673053e+10
v2		icc		2000		4	3,228833819	36.220.151.017	0,46(x4)	1.673053e+10
v2		icc		2000		8	2,829071544	31.031.584.624	0,43(x8)	1.673053e+10
